Source,Target,weight,Label
Monday-Document Forgery / Stolen Felony,Tuesday-Assault With Deadly Weapon On Police Officer,1,Monday-Document Forgery / Stolen Felony
Monday-Theft Of Identity,Tuesday-Assault With Deadly Weapon On Police Officer,1,Monday-Theft Of Identity
"Monday-Assault With Deadly Weapon, Aggravated Assault",Tuesday-Assault With Deadly Weapon On Police Officer,1,"Monday-Assault With Deadly Weapon, Aggravated Assault"
"Monday-Assault With Deadly Weapon, Aggravated Assault","Tuesday-Assault With Deadly Weapon, Aggravated Assault",14,"Monday-Assault With Deadly Weapon, Aggravated Assault"
Monday-Burglary From Vehicle,Tuesday-Assault With Deadly Weapon On Police Officer,1,Monday-Burglary From Vehicle
"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Tuesday-Assault With Deadly Weapon On Police Officer,1,"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Tuesday-Assault With Deadly Weapon, Aggravated Assault",8,"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Tuesday-Assault With Deadly Weapon On Police Officer,Wednesday-Burglary From Vehicle,1,Tuesday-Assault With Deadly Weapon On Police Officer
Tuesday-Assault With Deadly Weapon On Police Officer,Wednesday-Child Abuse (Physical) - Simple Assault,1,Tuesday-Assault With Deadly Weapon On Police Officer
Tuesday-Assault With Deadly Weapon On Police Officer,Wednesday-Robbery,1,Tuesday-Assault With Deadly Weapon On Police Officer
Tuesday-Assault With Deadly Weapon On Police Officer,Wednesday-Bike - Stolen,1,Tuesday-Assault With Deadly Weapon On Police Officer
"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Wednesday-Child Abuse (Physical) - Simple Assault,5,"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Wednesday-Bike - Stolen,7,"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Tuesday-Assault With Deadly Weapon, Aggravated Assault",Wednesday-Child Abuse (Physical) - Simple Assault,2,"Tuesday-Assault With Deadly Weapon, Aggravated Assault"
"Tuesday-Assault With Deadly Weapon, Aggravated Assault",Wednesday-Bike - Stolen,5,"Tuesday-Assault With Deadly Weapon, Aggravated Assault"
Tuesday-Burglary,Wednesday-Bike - Stolen,10,Tuesday-Burglary
Wednesday-Child Abuse (Physical) - Simple Assault,Thursday-Theft Of Identity,6,Wednesday-Child Abuse (Physical) - Simple Assault
Wednesday-Child Abuse (Physical) - Simple Assault,Thursday-Robbery,3,Wednesday-Child Abuse (Physical) - Simple Assault
Wednesday-Bike - Stolen,Thursday-Burglary From Vehicle,8,Wednesday-Bike - Stolen
Wednesday-Bike - Stolen,Thursday-Theft Of Identity,6,Wednesday-Bike - Stolen
Wednesday-Bike - Stolen,Thursday-Battery - Simple Assault,8,Wednesday-Bike - Stolen
Wednesday-Bike - Stolen,Thursday-Vehicle - Stolen,8,Wednesday-Bike - Stolen
Wednesday-Bike - Stolen,Thursday-Robbery,4,Wednesday-Bike - Stolen
Thursday-Theft Of Identity,Friday-Threatening Phone Calls/Letters,1,Thursday-Theft Of Identity
Thursday-Battery - Simple Assault,Friday-Threatening Phone Calls/Letters,1,Thursday-Battery - Simple Assault
Thursday-Vehicle - Stolen,Friday-Threatening Phone Calls/Letters,2,Thursday-Vehicle - Stolen
Thursday-Robbery,Friday-Threatening Phone Calls/Letters,1,Thursday-Robbery
Thursday-Robbery,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,2,Thursday-Robbery
Friday-Threatening Phone Calls/Letters,Saturday-Criminal Threats - No Weapon Displayed,2,Friday-Threatening Phone Calls/Letters
Friday-Threatening Phone Calls/Letters,"Saturday-Letters, Lewd",1,Friday-Threatening Phone Calls/Letters
Friday-Threatening Phone Calls/Letters,Saturday-Theft Plain - Petty ($950 & Under),2,Friday-Threatening Phone Calls/Letters
Friday-Threatening Phone Calls/Letters,"Saturday-Assault With Deadly Weapon, Aggravated Assault",3,Friday-Threatening Phone Calls/Letters
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,"Saturday-Letters, Lewd",2,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Criminal Threats - No Weapon Displayed,Sunday-Theft Plain - Attempt,2,Saturday-Criminal Threats - No Weapon Displayed
Saturday-Criminal Threats - No Weapon Displayed,Sunday-Other Miscellaneous Crime,4,Saturday-Criminal Threats - No Weapon Displayed
Saturday-Vehicle - Stolen,Sunday-Theft Plain - Attempt,4,Saturday-Vehicle - Stolen
"Saturday-Letters, Lewd",Sunday-Theft Plain - Attempt,2,"Saturday-Letters, Lewd"
"Saturday-Letters, Lewd","Sunday-Assault With Deadly Weapon, Aggravated Assault",6,"Saturday-Letters, Lewd"
"Saturday-Letters, Lewd",Sunday-Child Neglect (See 300 W.I.C.),1,"Saturday-Letters, Lewd"
"Saturday-Letters, Lewd",Sunday-Burglary From Vehicle,9,"Saturday-Letters, Lewd"
"Saturday-Letters, Lewd",Sunday-Theft From Motor Vehicle - Petty ($950 & Under),4,"Saturday-Letters, Lewd"
"Saturday-Letters, Lewd",Sunday-Battery - Simple Assault,8,"Saturday-Letters, Lewd"
Saturday-Theft Plain - Petty ($950 & Under),Sunday-Theft Plain - Attempt,2,Saturday-Theft Plain - Petty ($950 & Under)
