Source,Target,weight
"Assault With Deadly Weapon, Aggravated Assault",Bike - Attempted Stolen,27
"Assault With Deadly Weapon, Aggravated Assault",Bike - Stolen,8616
"Assault With Deadly Weapon, Aggravated Assault",Blocking Door Induction Center,3
"Assault With Deadly Weapon, Aggravated Assault",Boat - Stolen,227
"Assault With Deadly Weapon, Aggravated Assault",Bomb Scare,857
"Assault With Deadly Weapon, Aggravated Assault",Brandish Weapon,8894
"Assault With Deadly Weapon, Aggravated Assault",Bribery,29
"Assault With Deadly Weapon, Aggravated Assault","Bunco, Attempt",444
"Assault With Deadly Weapon, Aggravated Assault","Bunco, Grand Theft",5099
"Assault With Deadly Weapon, Aggravated Assault","Bunco, Petty Theft",3190
"Assault With Deadly Weapon, Aggravated Assault",Burglary,65078
"Assault With Deadly Weapon, Aggravated Assault",Burglary From Vehicle,66552
"Assault With Deadly Weapon, Aggravated Assault","Burglary From Vehicle, Attempted",2304
"Assault With Deadly Weapon, Aggravated Assault","Burglary, Attempted",9916
"Assault With Deadly Weapon, Aggravated Assault",Child Abandonment,70
"Assault With Deadly Weapon, Aggravated Assault",Child Abuse (Physical) - Aggravated Assault,1290
"Assault With Deadly Weapon, Aggravated Assault",Child Abuse (Physical) - Simple Assault,6754
"Assault With Deadly Weapon, Aggravated Assault",Child Annoying (17Yrs & Under),4156
"Assault With Deadly Weapon, Aggravated Assault",Child Neglect (See 300 W.I.C.),4528
"Assault With Deadly Weapon, Aggravated Assault",Child Stealing,915
"Assault With Deadly Weapon, Aggravated Assault",Conspiracy,46
"Assault With Deadly Weapon, Aggravated Assault",Contempt Of Court,2393
"Assault With Deadly Weapon, Aggravated Assault",Contributing,149
"Assault With Deadly Weapon, Aggravated Assault",Counterfeit,699
"Assault With Deadly Weapon, Aggravated Assault","Credit Cards, Fraud Use ($950 & Under",186
"Assault With Deadly Weapon, Aggravated Assault","Credit Cards, Fraud Use ($950.01 & Over)",661
"Assault With Deadly Weapon, Aggravated Assault",Criminal Homicide,2151
"Assault With Deadly Weapon, Aggravated Assault",Criminal Threats - No Weapon Displayed,41942
"Assault With Deadly Weapon, Aggravated Assault",Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,5791
"Assault With Deadly Weapon, Aggravated Assault",Cruelty To Animals,1124
"Assault With Deadly Weapon, Aggravated Assault","Defrauding Innkeeper/Theft Of Services, $400 & Under",1708
"Assault With Deadly Weapon, Aggravated Assault","Defrauding Innkeeper/Theft Of Services, Over $400",170
"Assault With Deadly Weapon, Aggravated Assault",Discharge Firearms/Shots Fired,2820
"Assault With Deadly Weapon, Aggravated Assault",Dishonest Employee - Grand Theft,125
"Assault With Deadly Weapon, Aggravated Assault",Dishonest Employee - Petty Theft,100
"Assault With Deadly Weapon, Aggravated Assault",Dishonest Employee Attempted Theft,7
"Assault With Deadly Weapon, Aggravated Assault",Disrupt School,34
"Assault With Deadly Weapon, Aggravated Assault",Disturbing The Peace,2775
"Assault With Deadly Weapon, Aggravated Assault",Document Forgery / Stolen Felony,18752
"Assault With Deadly Weapon, Aggravated Assault",Document Worthless ($200 & Under),39
"Assault With Deadly Weapon, Aggravated Assault",Document Worthless ($200.01 & Over),266
"Assault With Deadly Weapon, Aggravated Assault",Driving Without Owner Consent (Dwoc),371
"Assault With Deadly Weapon, Aggravated Assault","Drugs, To A Minor",37
"Assault With Deadly Weapon, Aggravated Assault",Drunk Roll,26
"Assault With Deadly Weapon, Aggravated Assault",Drunk Roll - Attempt,1
"Assault With Deadly Weapon, Aggravated Assault","Embezzlement, Grand Theft ($950.01 & Over)",5796
"Assault With Deadly Weapon, Aggravated Assault","Embezzlement, Petty Theft ($950 & Under)",462
"Assault With Deadly Weapon, Aggravated Assault",Extortion,1599
"Assault With Deadly Weapon, Aggravated Assault",Failure To Disperse,18
"Assault With Deadly Weapon, Aggravated Assault",Failure To Yield,249
"Assault With Deadly Weapon, Aggravated Assault",False Imprisonment,718
"Assault With Deadly Weapon, Aggravated Assault",False Police Report,309
"Assault With Deadly Weapon, Aggravated Assault",Grand Theft / Auto Repair,12
"Assault With Deadly Weapon, Aggravated Assault",Grand Theft / Insurance Fraud,63
"Assault With Deadly Weapon, Aggravated Assault",Illegal Dumping,392
"Assault With Deadly Weapon, Aggravated Assault",Incest (Sexual Acts Between Blood Relatives),8
"Assault With Deadly Weapon, Aggravated Assault",Inciting A Riot,8
"Assault With Deadly Weapon, Aggravated Assault",Indecent Exposure,2578
"Assault With Deadly Weapon, Aggravated Assault",Intimate Partner - Aggravated Assault,8629
"Assault With Deadly Weapon, Aggravated Assault",Intimate Partner - Simple Assault,63835
"Assault With Deadly Weapon, Aggravated Assault",Kidnapping,1656
"Assault With Deadly Weapon, Aggravated Assault",Kidnapping - Grand Attempt,586
"Assault With Deadly Weapon, Aggravated Assault","Letters, Lewd",16141
"Assault With Deadly Weapon, Aggravated Assault",Lewd Conduct,958
"Assault With Deadly Weapon, Aggravated Assault",Lynching,39
"Assault With Deadly Weapon, Aggravated Assault",Lynching - Attempted,20
"Assault With Deadly Weapon, Aggravated Assault","Manslaughter, Negligent",3
"Assault With Deadly Weapon, Aggravated Assault",Oral Copulation,1243
"Assault With Deadly Weapon, Aggravated Assault",Other Assault,1807
"Assault With Deadly Weapon, Aggravated Assault",Other Miscellaneous Crime,16351
"Assault With Deadly Weapon, Aggravated Assault",Pandering,195
"Assault With Deadly Weapon, Aggravated Assault",Peeping Tom,880
"Assault With Deadly Weapon, Aggravated Assault",Petty Theft - Auto Repair,19
"Assault With Deadly Weapon, Aggravated Assault",Pickpocket,565
"Assault With Deadly Weapon, Aggravated Assault","Pickpocket, Attempt",15
"Assault With Deadly Weapon, Aggravated Assault",Pimping,409
"Assault With Deadly Weapon, Aggravated Assault",Prowler,726
"Assault With Deadly Weapon, Aggravated Assault",Purse Snatching,968
"Assault With Deadly Weapon, Aggravated Assault",Purse Snatching - Attempt,40
"Assault With Deadly Weapon, Aggravated Assault","Rape, Attempted",866
"Assault With Deadly Weapon, Aggravated Assault","Rape, Forcible",7261
"Assault With Deadly Weapon, Aggravated Assault",Reckless Driving,177
"Assault With Deadly Weapon, Aggravated Assault","Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",17
"Assault With Deadly Weapon, Aggravated Assault",Resisting Arrest,2607
"Assault With Deadly Weapon, Aggravated Assault",Robbery,55171
"Assault With Deadly Weapon, Aggravated Assault","Sex, Unlawful",3338
"Assault With Deadly Weapon, Aggravated Assault",Sexual Pentration With A Foreign Object,1560
"Assault With Deadly Weapon, Aggravated Assault",Shoplifting - Attempt,154
"Assault With Deadly Weapon, Aggravated Assault",Shoplifting - Petty Theft ($950 & Under),34367
"Assault With Deadly Weapon, Aggravated Assault",Shoplifting-Grand Theft ($950.01 & Over),2672
"Assault With Deadly Weapon, Aggravated Assault",Shots Fired At Inhabited Dwelling,2014
"Assault With Deadly Weapon, Aggravated Assault","Shots Fired At Moving Vehicle, Train Or Aircraft",178
"Assault With Deadly Weapon, Aggravated Assault",Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,991
"Assault With Deadly Weapon, Aggravated Assault",Stalking,1478
"Assault With Deadly Weapon, Aggravated Assault",Telephone Property - Damage,34
"Assault With Deadly Weapon, Aggravated Assault",Theft From Motor Vehicle - Attempt,934
"Assault With Deadly Weapon, Aggravated Assault",Theft From Motor Vehicle - Grand ($400 And Over),22504
"Assault With Deadly Weapon, Aggravated Assault",Theft From Motor Vehicle - Petty ($950 & Under),55251
"Assault With Deadly Weapon, Aggravated Assault",Theft From Person - Attempt,223
"Assault With Deadly Weapon, Aggravated Assault",Theft Of Identity,59094
"Assault With Deadly Weapon, Aggravated Assault",Theft Plain - Attempt,1311
"Assault With Deadly Weapon, Aggravated Assault",Theft Plain - Petty ($950 & Under),65740
"Assault With Deadly Weapon, Aggravated Assault","Theft, Coin Machine - Attempt",17
"Assault With Deadly Weapon, Aggravated Assault","Theft, Coin Machine - Grand ($950.01 & Over)",33
"Assault With Deadly Weapon, Aggravated Assault","Theft, Coin Machine - Petty ($950 & Under)",168
"Assault With Deadly Weapon, Aggravated Assault","Theft, Person",10321
"Assault With Deadly Weapon, Aggravated Assault","Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",48308
"Assault With Deadly Weapon, Aggravated Assault",Threatening Phone Calls/Letters,2566
"Assault With Deadly Weapon, Aggravated Assault",Throwing Object At Moving Vehicle,1154
"Assault With Deadly Weapon, Aggravated Assault",Till Tap - Attempt,2
"Assault With Deadly Weapon, Aggravated Assault",Till Tap - Grand Theft ($950.01 & Over),11
"Assault With Deadly Weapon, Aggravated Assault",Till Tap - Petty ($950 & Under),64
